"TIME","GEO","SEX","UNIT","AGE","Value","Flag and Footnotes"
"2015","Sweden","Total","Number","Less than 15 years","1,682,033",""
"2015","United Kingdom","Total","Number","From 15 to 29 years","12,580,856","e"
"2015","United Kingdom","Total","Number","Less than 15 years","11,463,432","e"
"2015","Iceland","Total","Number","From 15 to 29 years","70,383",""
"2015","Iceland","Total","Number","Less than 15 years","67,002",""
"2015","Liechtenstein","Total","Number","From 15 to 29 years","6,677",""
"2015","Liechtenstein","Total","Number","Less than 15 years","5,649",""
"2015","Norway","Total","Number","From 15 to 29 years","1,024,156",""
"2015","Norway","Total","Number","Less than 15 years","932,536",""
"2015","Switzerland","Total","Number","From 15 to 29 years","1,488,528",""
"2015","Switzerland","Total","Number","Less than 15 years","1,224,981",""
"2015","Montenegro","Total","Number","From 15 to 29 years","126,508",""
"2015","Montenegro","Total","Number","Less than 15 years","115,004",""
"2015","Former Yugoslav Republic of Macedonia, the","Total","Number","From 15 to 29 years","448,272",""
"2015","Former Yugoslav Republic of Macedonia, the","Total","Number","Less than 15 years","347,644",""
"2015","Albania","Total","Number","From 15 to 29 years","675,104","e"
"2015","Albania","Total","Number","Less than 15 years","533,669","e"
"2015","Serbia","Total","Number","From 15 to 29 years","1,244,924",""
"2015","Serbia","Total","Number","Less than 15 years","1,023,354",""
"2015","Turkey","Total","Number","From 15 to 29 years","19,055,583",""
"2015","Turkey","Total","Number","Less than 15 years","18,862,430",""
"2015","Andorra","Total","Number","From 15 to 29 years",":",""
"2015","Andorra","Total","Number","Less than 15 years",":",""
"2015","Belarus","Total","Number","From 15 to 29 years","1,872,639",""
"2015","Belarus","Total","Number","Less than 15 years","1,518,669",""
"2015","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Number","From 15 to 29 years",":",""
"2015","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Number","Less than 15 years",":",""
"2015","Moldova","Total","Number","From 15 to 29 years","870,962",""
"2015","Moldova","Total","Number","Less than 15 years","567,871",""
"2015","Russia","Total","Number","From 15 to 29 years",":",""
"2015","Russia","Total","Number","Less than 15 years",":",""
"2015","San Marino","Total","Number","From 15 to 29 years",":",""
"2015","San Marino","Total","Number","Less than 15 years",":",""
"2015","Ukraine","Total","Number","From 15 to 29 years","8,301,423",""
"2015","Ukraine","Total","Number","Less than 15 years","6,449,171",""
"2015","Armenia","Total","Number","From 15 to 29 years","721,653",""
"2015","Armenia","Total","Number","Less than 15 years","582,592",""
"2015","Azerbaijan","Total","Number","From 15 to 29 years","2,564,427",""
"2015","Azerbaijan","Total","Number","Less than 15 years","2,152,698",""
"2015","Georgia","Total","Number","From 15 to 29 years","814,300",""
"2015","Georgia","Total","Number","Less than 15 years","649,100",""
"2016","Belgium","Total","Number","From 15 to 29 years","2,057,718",""
"2016","Belgium","Total","Number","Less than 15 years","1,921,342",""
"2016","Bulgaria","Total","Number","From 15 to 29 years","1,169,398",""
"2016","Bulgaria","Total","Number","Less than 15 years","998,206",""
"2016","Czech Republic","Total","Number","From 15 to 29 years","1,738,629",""
"2016","Czech Republic","Total","Number","Less than 15 years","1,623,716",""
"2016","Denmark","Total","Number","From 15 to 29 years","1,099,696",""
"2016","Denmark","Total","Number","Less than 15 years","960,274",""
"2016","Germany (until 1990 former territory of the FRG)","Total","Number","From 15 to 29 years","14,165,523",""
"2016","Germany (until 1990 former territory of the FRG)","Total","Number","Less than 15 years","10,881,126",""
"2016","Estonia","Total","Number","From 15 to 29 years","233,567",""
"2016","Estonia","Total","Number","Less than 15 years","211,445",""
"2016","Ireland","Total","Number","From 15 to 29 years","871,341",""
"2016","Ireland","Total","Number","Less than 15 years","1,004,504",""
"2016","Greece","Total","Number","From 15 to 29 years","1,686,525",""
"2016","Greece","Total","Number","Less than 15 years","1,556,763",""
"2016","Spain","Total","Number","From 15 to 29 years","7,030,427",""
"2016","Spain","Total","Number","Less than 15 years","7,025,400",""
"2016","France","Total","Number","From 15 to 29 years","11,844,300","p"
"2016","France","Total","Number","Less than 15 years","12,312,069","p"
"2016","France (metropolitan)","Total","Number","From 15 to 29 years",":",""
"2016","France (metropolitan)","Total","Number","Less than 15 years",":",""
"2016","Croatia","Total","Number","From 15 to 29 years","739,397",""
"2016","Croatia","Total","Number","Less than 15 years","611,472",""
"2016","Italy","Total","Number","From 15 to 29 years","9,178,438",""
"2016","Italy","Total","Number","Less than 15 years","8,281,859",""
"2016","Cyprus","Total","Number","From 15 to 29 years","188,375",""
"2016","Cyprus","Total","Number","Less than 15 years","139,538",""
"2016","Latvia","Total","Number","From 15 to 29 years","341,793",""
"2016","Latvia","Total","Number","Less than 15 years","300,260",""
"2016","Lithuania","Total","Number","From 15 to 29 years","553,898",""
"2016","Lithuania","Total","Number","Less than 15 years","423,747",""
"2016","Luxembourg","Total","Number","From 15 to 29 years","110,471",""
"2016","Luxembourg","Total","Number","Less than 15 years","94,891",""
"2016","Hungary","Total","Number","From 15 to 29 years","1,736,354",""
"2016","Hungary","Total","Number","Less than 15 years","1,424,448",""
"2016","Malta","Total","Number","From 15 to 29 years","89,939",""
"2016","Malta","Total","Number","Less than 15 years","63,827",""
"2016","Netherlands","Total","Number","From 15 to 29 years","3,155,675",""
"2016","Netherlands","Total","Number","Less than 15 years","2,799,772",""
"2016","Austria","Total","Number","From 15 to 29 years","1,607,298",""
"2016","Austria","Total","Number","Less than 15 years","1,246,847",""
"2016","Poland","Total","Number","From 15 to 29 years","7,153,794",""
"2016","Poland","Total","Number","Less than 15 years","5,708,855",""
"2016","Portugal","Total","Number","From 15 to 29 years","1,662,944",""
"2016","Portugal","Total","Number","Less than 15 years","1,460,832",""
"2016","Romania","Total","Number","From 15 to 29 years","3,520,009",""
"2016","Romania","Total","Number","Less than 15 years","3,064,993",""
"2016","Slovenia","Total","Number","From 15 to 29 years","327,326",""
"2016","Slovenia","Total","Number","Less than 15 years","306,390",""
"2016","Slovakia","Total","Number","From 15 to 29 years","1,039,651",""
"2016","Slovakia","Total","Number","Less than 15 years","832,043",""
"2016","Finland","Total","Number","From 15 to 29 years","982,915",""
"2016","Finland","Total","Number","Less than 15 years","896,023",""
"2016","Sweden","Total","Number","From 15 to 29 years","1,861,333",""
"2016","Sweden","Total","Number","Less than 15 years","1,717,143",""
"2016","United Kingdom","Total","Number","From 15 to 29 years","12,572,786","e"
"2016","United Kingdom","Total","Number","Less than 15 years","11,587,390","e"
"2016","Iceland","Total","Number","From 15 to 29 years","71,377",""
"2016","Iceland","Total","Number","Less than 15 years","66,540",""
"2016","Liechtenstein","Total","Number","From 15 to 29 years","6,652",""
"2016","Liechtenstein","Total","Number","Less than 15 years","5,610",""
"2016","Norway","Total","Number","From 15 to 29 years","1,030,617",""
"2016","Norway","Total","Number","Less than 15 years","933,600",""
"2016","Switzerland","Total","Number","From 15 to 29 years","1,495,346",""
"2016","Switzerland","Total","Number","Less than 15 years","1,236,792",""
"2016","Montenegro","Total","Number","From 15 to 29 years","124,565",""
"2016","Montenegro","Total","Number","Less than 15 years","114,108",""
"2016","Former Yugoslav Republic of Macedonia, the","Total","Number","From 15 to 29 years","440,516",""
"2016","Former Yugoslav Republic of Macedonia, the","Total","Number","Less than 15 years","344,909",""
"2016","Albania","Total","Number","From 15 to 29 years","650,968",""
"2016","Albania","Total","Number","Less than 15 years","509,813",""
"2016","Serbia","Total","Number","From 15 to 29 years","1,217,682",""
"2016","Serbia","Total","Number","Less than 15 years","1,020,693",""
"2016","Turkey","Total","Number","From 15 to 29 years","19,162,916",""
"2016","Turkey","Total","Number","Less than 15 years","18,886,220",""
"2016","Andorra","Total","Number","From 15 to 29 years",":",""
"2016","Andorra","Total","Number","Less than 15 years",":",""
"2016","Belarus","Total","Number","From 15 to 29 years","1,813,559",""
"2016","Belarus","Total","Number","Less than 15 years","1,549,332",""
"2016","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Number","From 15 to 29 years","485,704","p"
"2016","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Number","Less than 15 
"2017","Belgium","Total","Number","From 15 to 29 years","2,052,618",""
"2017","Belgium","Total","Number","Less than 15 years","1,927,820",""
"2017","Bulgaria","Total","Number","From 15 to 29 years","1,125,125",""
"2017","Bulgaria","Total","Number","Less than 15 years","1,001,019",""
"2017","Czech Republic","Total","Number","From 15 to 29 years","1,697,967",""
"2017","Czech Republic","Total","Number","Less than 15 years","1,647,275",""
"2017","Denmark","Total","Number","From 15 to 29 years","1,114,789",""
"2017","Denmark","Total","Number","Less than 15 years","961,568",""
"2017","Germany (until 1990 former territory of the FRG)","Total","Number","From 15 to 29 years","14,113,656",""
"2017","Germany (until 1990 former territory of the FRG)","Total","Number","Less than 15 years","11,048,568",""
"2017","Estonia","Total","Number","From 15 to 29 years","226,511",""
"2017","Estonia","Total","Number","Less than 15 years","213,609",""
"2017","Ireland","Total","Number","From 15 to 29 years","877,128",""
"2017","Ireland","Total","Number","Less than 15 years","1,008,455",""
"2017","Greece","Total","Number","From 15 to 29 years","1,675,737",""
"2017","Greece","Total","Number","Less than 15 years","1,554,669",""
"2017","Spain","Total","Number","From 15 to 29 years","7,002,731",""
"2017","Spain","Total","Number","Less than 15 years","7,005,179",""
"2017","France","Total","Number","From 15 to 29 years","11,844,915","p"
"2017","France","Total","Number","Less than 15 years","12,274,739","p"
"2017","France (metropolitan)","Total","Number","From 15 to 29 years",":",""
"2017","France (metropolitan)","Total","Number","Less than 15 years",":",""
"2017","Croatia","Total","Number","From 15 to 29 years","720,498",""
"2017","Croatia","Total","Number","Less than 15 years","603,450",""
"2017","Italy","Total","Number","From 15 to 29 years","9,145,119",""
"2017","Italy","Total","Number","Less than 15 years","8,182,584",""
"2017","Cyprus","Total","Number","From 15 to 29 years","188,395",""
"2017","Cyprus","Total","Number","Less than 15 years","139,307",""
"2017","Latvia","Total","Number","From 15 to 29 years","325,464",""
"2017","Latvia","Total","Number","Less than 15 years","303,587",""
"2017","Lithuania","Total","Number","From 15 to 29 years","528,988",""
"2017","Lithuania","Total","Number","Less than 15 years","422,122",""
"2017","Luxembourg","Total","Number","From 15 to 29 years","113,453","b"
"2017","Luxembourg","Total","Number","Less than 15 years","95,923","b"
"2017","Hungary","Total","Number","From 15 to 29 years","1,710,292",""
"2017","Hungary","Total","Number","Less than 15 years","1,422,865",""
"2017","Malta","Total","Number","From 15 to 29 years","90,888",""
"2017","Malta","Total","Number","Less than 15 years","65,084",""
"2017","Netherlands","Total","Number","From 15 to 29 years","3,191,735",""
"2017","Netherlands","Total","Number","Less than 15 years","2,781,768",""
"2017","Austria","Total","Number","From 15 to 29 years","1,605,496",""
"2017","Austria","Total","Number","Less than 15 years","1,263,740",""
"2017","Poland","Total","Number","From 15 to 29 years","6,927,325",""
"2017","Poland","Total","Number","Less than 15 years","5,732,323",""
"2017","Portugal","Total","Number","From 15 to 29 years","1,648,640",""
"2017","Portugal","Total","Number","Less than 15 years","1,442,416",""
"2017","Romania","Total","Number","From 15 to 29 years","3,413,949",""
"2017","Romania","Total","Number","Less than 15 years","3,057,024",""
"2017","Slovenia","Total","Number","From 15 to 29 years","319,668",""
"2017","Slovenia","Total","Number","Less than 15 years","308,594",""
"2017","Slovakia","Total","Number","From 15 to 29 years","1,007,415",""
"2017","Slovakia","Total","Number","Less than 15 years","840,228",""
"2017","Finland","Total","Number","From 15 to 29 years","981,543",""
"2017","Finland","Total","Number","Less than 15 years","894,178",""
"2017","Sweden","Total","Number","From 15 to 29 years","1,881,478",""
"2017","Sweden","Total","Number","Less than 15 years","1,760,994",""
"2017","United Kingdom","Total","Number","From 15 to 29 years","12,497,843",""
"2017","United Kingdom","Total","Number","Less than 15 years","11,733,492",""
"2017","Iceland","Total","Number","From 15 to 29 years","72,830",""
"2017","Iceland","Total","Number","Less than 15 years","66,816",""
"2017","Liechtenstein","Total","Number","From 15 to 29 years","6,589",""
"2017","Liechtenstein","Total","Number","Less than 15 years","5,624",""
"2017","Norway","Total","Number","From 15 to 29 years","1,036,260",""
"2017","Norway","Total","Number","Less than 15 years","937,710",""
"2017","Switzerland","Total","Number","From 15 to 29 years","1,500,591",""
"2017","Switzerland","Total","Number","Less than 15 years","1,254,991",""
"2017","Montenegro","Total","Number","From 15 to 29 years","123,018",""
"2017","Montenegro","Total","Number","Less than 15 years","113,302",""
"2017","Former Yugoslav Republic of Macedonia, the","Total","Number","From 15 to 29 years","432,146",""
"2017","Former Yugoslav Republic of Macedonia, the","Total","Number","Less than 15 years","343,319",""
"2017","Albania","Total","Number","From 15 to 29 years","705,327",""
"2017","Albania","Total","Number","Less than 15 years","522,110",""
"2017","Serbia","Total","Number","From 15 to 29 years","1,197,357",""
"2017","Serbia","Total","Number","Less than 15 years","1,012,481",""
"2017","Turkey","Total","Number","From 15 to 29 years","19,235,083",""
"2017","Turkey","Total","Number","Less than 15 years","18,925,782",""
"2017","Andorra","Total","Number","From 15 to 29 years",":",""
"2017","Andorra","Total","Number","Less than 15 years",":",""
"2017","Belarus","Total","Number","From 15 to 29 years",":",""
"2017","Belarus","Total","Number","Less than 15 years",":",""
"2017","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Number","From 15 to 29 years",":",""
"2017","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Number","Less than 15 years",":",""
"2017","Moldova","Total","Number","From 15 to 29 years","802,931",""
"2017","Moldova","Total","Number","Less than 15 years","566,967",""
"2017","Russia","Total","Number","From 15 to 29 years",":",""
"2017","Russia","Total","Number","Less than 15 years",":",""
"2017","San Marino","Total","Number","From 15 to 29 years",":",""
"2017","San Marino","Total","Number","Less than 15 years",":",""
"2017","Ukraine","Total","Number","From 15 to 29 years",":",""
"2017","Ukraine","Total","Number","Less than 15 years",":",""
"2017","Armenia","Total","Number","From 15 to 29 years","656,009",""
"2017","Armenia","Total","Number","Less than 15 years","595,812",""
"2017","Azerbaijan","Total","Number","From 15 to 29 years","2,447,657",""
"2017","Azerbaijan","Total","Number","Less than 15 years","2,219,669",""
"2017","Georgia","Total","Number","From 15 to 29 years",":",""
"2017","Georgia","Total","Number","Less than 15 years",":",""
